Packet ID                             Action          Delay(in Sec)       Starting Time    Current_time(in Sec)    Switch 1 Queue Length    Switch 2 Queue Length
------------------------------------  --------------  ------------------  ---------------  ----------------------  -----------------------  -----------------------
episode = 0
ecd8f6d6-e33c-44cf-89f2-bbadd2fbba59  sw2 to es3      10.0 (Agent)        20.0             8                       15                       0
fa85ad57-a45a-4a7f-8f7f-ce409087eb44  sw1 to es3      10.0 (Agent)        20.0             1                       14                       0
2c30c6e0-12a7-4184-921a-ff7b23b3305a  es1 to switch1  1.1111111111111112  19               21.111111111111107      15                       0
e83add95-181e-4996-9504-06dd4f78e518  es1 to switch1  1.1111111111111112  20               22.222222222222218      16                       0
180c22a2-85f7-49bc-9156-4c2a3b546aaf  es2 to switch2  2.5                 9                22.5                    17                       0
7edf32fe-f13d-46be-868b-5e6bc4d2914a  sw2 to sw1      1.25 (Agent)        8                22.5                    17                       0
5de74f94-cba0-416b-aeb6-8a00619b750e  es1 to switch1  1.1111111111111112  21               23.33333333333333       18                       0
8767fffb-6a98-4860-9165-bd61e44d9d83  es1 to switch1  1.1111111111111112  22               24.44444444444444       19                       0
f5665b6f-e2d3-4896-ab43-04766bb98a6f  es2 to switch2  2.5                 10               25.0                    20                       0
180c22a2-85f7-49bc-9156-4c2a3b546aaf  sw2 to sw1      1.25 (Agent)        9                25.0                    20                       0
6074f271-a9a4-453b-b9ca-25dbfe8c0c4a  es1 to switch1  1.1111111111111112  23               25.55555555555555       21                       0
d313b45d-65d5-4230-aa12-434246e16812  es1 to switch1  1.1111111111111112  24               26.66666666666666       22                       0
b826a767-45e0-4390-9662-a796005d1cc2  es2 to switch2  2.5                 11               27.5                    23                       0
f5665b6f-e2d3-4896-ab43-04766bb98a6f  sw2 to sw1      1.25 (Agent)        10               27.5                    23                       0
b070ce1f-0177-4ffd-a785-060f5798c625  sw1 to sw2      1.25 (Agent)        2                27.5                    22                       1
68df15f6-13b7-433c-ba49-c51ce432875a  sw1 to es3      10.0 (Agent)        27.5             9                       21                       1
